Symbol,Name,1 Week ∆
INTC,Intel,0.14090375785679093
MPWR,Monolithic Power Systems,0.07486472184100211
INTU,Intuit,0.06086881637899545
STX,Seagate Technology,0.05689810138110163
FICO,Fair Isaac,0.040953104425842816
CRM,Salesforce,0.04051736857455174
LRCX,Lam Research,0.04022050429093377
AVGO,Broadcom Inc.,0.03671933599754073
SNPS,Synopsys,0.03561402641968765
AMD,AMD,0.03429061249615669
KLAC,KLA Corporation,0.033421357127906025
CDNS,Cadence Design Systems,0.030596354420051746
ANET,Arista Networks,0.030438387829655675
NOW,ServiceNow,0.03038124153303677
ADBE,Adobe Inc.,0.028062912751926704
ORCL,Oracle Corporation,0.02048222106419199
NVDA,Nvidia,0.018932668189496862
MSFT,Microsoft,0.009248941859404993
AMAT,Applied Materials,-0.0004036162869641999
PANW,Palo Alto Networks,-0.02858713861980938
